,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
0,AmŽrica-MG,Goleiro,Matheus Cavichioli,7.38,-0.68,-0.3,1.93,4,4,,,,,,,,,,,,,4.0,,,1.0,,1.0,1.0,,72580,327,1,0.0
1,Bahia,Atacante,Everaldo,9.34,-0.21,1.6,3.2,4,4,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,78117,265,5,0.0
2,Grmio,Zagueiro,Bruno Uvini,2.94,0.2,1.6,0.8,2,4,,,,,,1.0,,,,,,,,2.0,,,1.0,,1.0,,70221,284,3,0.0
3,AmŽrica-MG,Zagueiro,Iago Maidana,2.08,-0.48,-0.7,-0.17,3,4,,,,,,,,1.0,,,,,,,,,,,2.0,,89226,327,3,0.0
4,Fluminense,Atacante,Cano,16.0,0.29,8.10,5.12,4,4,,,,2.0,3.0,,,,,,,,,1.0,,,,,2.0,,79631,266,5,8.10
5,Palmeiras,Atacante,Rony,9.66,-0.61,1.1,0.55,2,4,,,,,,3.0,,1.0,,,,,,,,,,,1.0,,91607,275,5,0.0
6,Botafogo,Meia,Tch Tch,9.07,-0.93,0.6,5.1,4,4,,,,1.0,,,,,,,,,,,,,,,2.0,,86686,263,4,0.0
7,Palmeiras,Lateral,Mayke,4.78,0.79,3.4,0.45,2,4,,,,,,,,,,,1.0,,,,,,1.0,,2.0,,81150,275,2,0.0
8,AthlŽtico-PR,Meia,Terans,12.65,-0.18,3.9,2.75,2,4,,,,1.0,1.0,2.0,,,,,,,,1.0,,,,,1.0,,102878,293,4,0.0
9,Palmeiras,TŽcnico,Abel Ferreira,13.59,1.35,9.68,6.7,4,4,,,,,,,,,,,,,,,,,,,,,110506,275,6,0.0
10,Palmeiras,Lateral,Piquerez,11.5,3.72,15.1,6.63,3,4,,2.0,,,,1.0,,,,,1.0,,,1.0,,,1.0,,2.0,,102130,275,2,0.0
11,Fortaleza,Meia,Caio Alexandre,9.74,2.11,9.7,5.97,4,4,1.0,,,,1.0,,,,,,,,,1.0,,,,,1.0,,106323,356,4,0.0
12,Fluminense,Meia,Arias,9.08,-0.82,1.9,1.75,2,3,,,,,,4.0,,1.0,,,,,,,,,,,,,99815,266,4,0.0
13,Palmeiras,Zagueiro,Murilo,11.05,2.32,10.6,3.77,3,3,1.0,,,,,1.0,,,,,,,,2.0,,,,,1.0,,97653,275,3,0.0
14,Flamengo,Atacante,Pedro,14.33,-0.66,5.4,5.0,3,3,,,,2.0,,,,,,,,,,1.0,,,,,,,94583,262,5,5.4
15,Grmio,Meia,Vina,7.17,2.25,9.4,4.03,3,3,1.0,,,,,1.0,,,,,,,,1.0,,,,,1.0,,71162,284,4,0.0
